userid,name,t,revid,pageid,title,sizediff,tags
48520192,207Engineering,2024-09-30T14:48:27Z,1248613826,38233879,The center for teaching and learning,-31,visualeditor|mw-removed-redirect|mw-reverted
48520730,Afcrossland,2024-09-30T16:41:40Z,1248632680,49777036,List of active coal-fired power stations in the United Kingdom,7,wikieditor
48519554,AltBear,2024-09-30T12:22:56Z,1248594164,1707958,ESB Business School,-70,wikieditor
48518655,Anirudh Diwakar,2024-09-30T08:47:25Z,1248575028,7409732,"Shanmugha Arts, Science, Technology & Research Academy",16,wikieditor
48518531,Anuvid12,2024-09-30T07:48:53Z,1248571015,46505847,Kaashmora,-37,mobile edit|mobile web edit|mw-manual-revert
48518452,BS LeoN scholar,2024-09-30T07:30:36Z,1248569683,61747554,John Wick: Chapter 4,-66575,visualeditor|mw-reverted|editcheck-references|editcheck-newcontent
48519886,Balhaja31,2024-09-30T14:00:15Z,1248606379,8560,Design,46,visualeditor|mw-reverted
48519614,Benb182,2024-09-30T13:38:49Z,1248603709,660579,Petersfield Town F.C.,115,visualeditor|references removed
48518295,BradleyNZ,2024-09-30T06:45:22Z,1248565474,7931415,Lear Siegler,439,visualeditor|editcheck-references|editcheck-newcontent
48518425,CMCebsi2024,2024-09-30T07:47:42Z,1248570938,46612675,Everbright Securities International,-47,visualeditor|mw-removed-redirect
48518914,CaliphMountain,2024-09-30T09:44:45Z,1248579297,17913849,Occultation (Islam),1445,mobile edit|mobile web edit|mw-reverted
48521119,Coyote300,2024-09-30T18:13:18Z,1248648709,27226063,Sandpit (horse),0,visualeditor
48522036,Dm2100,2024-09-30T22:12:59Z,1248685679,13206035,Memphis sanitation strike,4,mw-reverted|wikieditor
48521224,Dngen,2024-09-30T18:38:18Z,1248652927,73370612,Movie Artists Association,-30,visualeditor|newcomer task|newcomer task copyedit
48518972,Eazirewebtech,2024-09-30T12:34:45Z,1248595571,51410213,History of Southwest Airlines,-37,visualeditor|newcomer task|newcomer task copyedit
48520549,ElectedCookie25,2024-09-30T16:49:41Z,1248634093,29223185,Kenneth Faried,13,wikieditor
48520392,Emc232425,2024-09-30T16:06:29Z,1248626548,78005185,Black Muslim Leadership Council,59,
48519331,Evietheo,2024-09-30T11:41:15Z,1248589992,46551022,John Christodoulou,183,visualeditor|mw-reverted|editcheck-references|editcheck-newcontent
48518952,Fraganlenuar,2024-09-30T11:57:35Z,1248591324,8398516,Pedro Alonso Niño,-41,wikieditor
48519452,Frankiepeakall,2024-09-30T11:53:13Z,1248590903,30892,Truro,14,mw-reverted|wikieditor
48521322,Gamingcubed,2024-09-30T18:48:14Z,1248654493,69023589,List of Internet challenges,52,visualeditor|mw-reverted
48521635,Georgecook69,2024-09-30T20:12:25Z,1248668019,1289988,Penshaw,335,mobile edit|mobile web edit|mw-reverted
48518792,Helepli23,2024-09-30T10:31:14Z,1248583763,2983066,Dean Learner,-12,wikieditor
48522143,Hypernova22,2024-09-30T23:05:13Z,1248691802,74850362,List of Bucerotiformes by population,-8,mobile edit|mobile web edit|visualeditor
